timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1623517871,0,0,0,32510,0,58,57,52.54,16
1623517871,0,0,0,32510,0,58,57,52.73,16
1623517871,0,0,0,32510,0,58,57,52.76,16
1623517871,0,0,0,32510,0,58,57,52.57,16
1623517871,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.56,16
1623517872,0,0,0,32506,4,58,57,52.46,16
1623517872,0,0,0,32506,4,58,57,52.47,16
1623517873,0,0,0,32506,4,58,57,52.47,16
1623517873,0,0,0,32506,4,58,57,52.48,16
1623517873,0,0,0,32506,4,58,57,52.48,16
1623517873,0,0,0,32506,4,58,57,52.49,16
1623517873,0,0,0,32506,4,58,57,52.49,16
1623517873,0,0,0,32506,4,57,57,52.49,16
1623517873,0,0,0,32506,4,57,57,52.49,16
1623517873,0,0,0,32506,4,57,57,52.49,16
1623517873,0,0,0,32506,4,58,57,52.49,16
1623517873,0,0,0,32506,4,57,57,52.49,16
1623517874,0,0,0,32506,4,57,57,52.49,16
1623517874,0,0,0,32506,4,57,57,52.49,16
1623517874,0,0,0,32506,4,57,57,52.47,16
1623517874,0,0,0,32506,4,57,57,51.8,16
1623517874,0,0,0,32506,4,57,57,52.41,16
1623517874,0,0,0,32506,4,57,57,52.38,16
1623517874,0,0,0,32506,4,57,56,52.39,16
1623517874,0,0,0,32506,4,57,57,52.38,16
1623517874,0,0,0,32506,4,57,57,52.48,16
1623517875,0,0,0,32506,4,57,57,52.47,16
1623517875,0,0,0,32494,16,57,57,52.49,16
1623517875,0,2,0,32189,321,57,56,52.44,16
